query_id,query_source,alpha,rank,filename,score,relevance_proxy
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.0,1,407869068_10161463377388069_270481176185833064_n2.jpg,1.000000,relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.0,2,linkedin.jpg,0.931618,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.0,3,53466105_10217464624504485_5659002703951429632_n.jpg,0.840039,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.0,4,245355932_10225262903736592_9072849147665011252_n.jpg,0.744068,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.0,5,407869068_10161463377388069_270481176185833064_n.jpg,0.708142,relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.2,1,407869068_10161463377388069_270481176185833064_n2.jpg,1.000000,relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.2,2,linkedin.jpg,0.931618,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.2,3,53466105_10217464624504485_5659002703951429632_n.jpg,0.840039,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.2,4,245355932_10225262903736592_9072849147665011252_n.jpg,0.744068,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.2,5,407869068_10161463377388069_270481176185833064_n.jpg,0.708142,relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.3,1,407869068_10161463377388069_270481176185833064_n2.jpg,1.000000,relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.3,2,linkedin.jpg,0.931618,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.3,3,53466105_10217464624504485_5659002703951429632_n.jpg,0.840039,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.3,4,245355932_10225262903736592_9072849147665011252_n.jpg,0.744068,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.3,5,407869068_10161463377388069_270481176185833064_n.jpg,0.708142,relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.5,1,407869068_10161463377388069_270481176185833064_n2.jpg,1.000000,relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.5,2,linkedin.jpg,0.931618,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.5,3,53466105_10217464624504485_5659002703951429632_n.jpg,0.840039,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.5,4,245355932_10225262903736592_9072849147665011252_n.jpg,0.744068,not_relevant
img2img_002,407869068_10161463377388069_270481176185833064_n2.jpg,0.5,5,407869068_10161463377388069_270481176185833064_n.jpg,0.708142,relevant
img2img_003,89332423.jpg,0.0,1,89332423.jpg,1.000000,relevant
img2img_003,89332423.jpg,0.0,2,89353191.jpg,0.673639,not_relevant
img2img_003,89332423.jpg,0.0,3,998845445.jpg,0.647567,relevant
img2img_003,89332423.jpg,0.0,4,968081289.jpg,0.637188,not_relevant
img2img_003,89332423.jpg,0.0,5,98492339.jpg,0.618088,not_relevant
img2img_003,89332423.jpg,0.2,1,89332423.jpg,1.000000,relevant
img2img_003,89332423.jpg,0.2,2,89353191.jpg,0.673639,not_relevant
img2img_003,89332423.jpg,0.2,3,998845445.jpg,0.647567,relevant
img2img_003,89332423.jpg,0.2,4,968081289.jpg,0.637188,not_relevant
img2img_003,89332423.jpg,0.2,5,98492339.jpg,0.618088,not_relevant
img2img_003,89332423.jpg,0.3,1,89332423.jpg,1.000000,relevant
img2img_003,89332423.jpg,0.3,2,89353191.jpg,0.673639,not_relevant
img2img_003,89332423.jpg,0.3,3,998845445.jpg,0.647567,relevant
img2img_003,89332423.jpg,0.3,4,968081289.jpg,0.637188,not_relevant
img2img_003,89332423.jpg,0.3,5,98492339.jpg,0.618088,not_relevant
img2img_003,89332423.jpg,0.5,1,89332423.jpg,1.000000,relevant
img2img_003,89332423.jpg,0.5,2,89353191.jpg,0.673639,not_relevant
img2img_003,89332423.jpg,0.5,3,998845445.jpg,0.647567,relevant
img2img_003,89332423.jpg,0.5,4,968081289.jpg,0.637188,not_relevant
img2img_003,89332423.jpg,0.5,5,98492339.jpg,0.618088,not_relevant
img2img_004,89404014.jpg,0.0,1,89404014.jpg,1.000000,relevant
img2img_004,89404014.jpg,0.0,2,997876722.jpg,0.650064,not_relevant
img2img_004,89404014.jpg,0.0,3,98235403.jpg,0.604463,not_relevant
img2img_004,89404014.jpg,0.0,4,977898311.jpg,0.573802,not_relevant
img2img_004,89404014.jpg,0.0,5,996962407.jpg,0.571301,not_relevant
img2img_004,89404014.jpg,0.2,1,89404014.jpg,1.000000,relevant
img2img_004,89404014.jpg,0.2,2,997876722.jpg,0.650064,not_relevant
img2img_004,89404014.jpg,0.2,3,98235403.jpg,0.604463,not_relevant
img2img_004,89404014.jpg,0.2,4,977898311.jpg,0.573802,not_relevant
img2img_004,89404014.jpg,0.2,5,996962407.jpg,0.571301,not_relevant
img2img_004,89404014.jpg,0.3,1,89404014.jpg,1.000000,relevant
img2img_004,89404014.jpg,0.3,2,997876722.jpg,0.650064,not_relevant
img2img_004,89404014.jpg,0.3,3,98235403.jpg,0.604463,not_relevant
img2img_004,89404014.jpg,0.3,4,977898311.jpg,0.573802,not_relevant
img2img_004,89404014.jpg,0.3,5,996962407.jpg,0.571301,not_relevant
img2img_004,89404014.jpg,0.5,1,89404014.jpg,1.000000,relevant
img2img_004,89404014.jpg,0.5,2,997876722.jpg,0.650064,not_relevant
img2img_004,89404014.jpg,0.5,3,98235403.jpg,0.604463,not_relevant
img2img_004,89404014.jpg,0.5,4,977898311.jpg,0.573802,not_relevant
img2img_004,89404014.jpg,0.5,5,996962407.jpg,0.571301,not_relevant
img2img_005,89407459.jpg,0.0,1,89407459.jpg,1.000000,relevant
img2img_005,89407459.jpg,0.0,2,979201222.jpg,0.634727,not_relevant
img2img_005,89407459.jpg,0.0,3,9726060.jpg,0.615806,not_relevant
img2img_005,89407459.jpg,0.0,4,960092.jpg,0.600177,not_relevant
img2img_005,89407459.jpg,0.0,5,98492339.jpg,0.588683,not_relevant
img2img_005,89407459.jpg,0.2,1,89407459.jpg,1.000000,relevant
img2img_005,89407459.jpg,0.2,2,979201222.jpg,0.634727,not_relevant
img2img_005,89407459.jpg,0.2,3,9726060.jpg,0.615806,not_relevant
img2img_005,89407459.jpg,0.2,4,960092.jpg,0.600177,not_relevant
img2img_005,89407459.jpg,0.2,5,98492339.jpg,0.588683,not_relevant
img2img_005,89407459.jpg,0.3,1,89407459.jpg,1.000000,relevant
img2img_005,89407459.jpg,0.3,2,979201222.jpg,0.634727,not_relevant
img2img_005,89407459.jpg,0.3,3,9726060.jpg,0.615806,not_relevant
img2img_005,89407459.jpg,0.3,4,960092.jpg,0.600177,not_relevant
img2img_005,89407459.jpg,0.3,5,98492339.jpg,0.588683,not_relevant
img2img_005,89407459.jpg,0.5,1,89407459.jpg,1.000000,relevant
img2img_005,89407459.jpg,0.5,2,979201222.jpg,0.634727,not_relevant
img2img_005,89407459.jpg,0.5,3,9726060.jpg,0.615806,not_relevant
img2img_005,89407459.jpg,0.5,4,960092.jpg,0.600177,not_relevant
img2img_005,89407459.jpg,0.5,5,98492339.jpg,0.588683,not_relevant
