alpha,query,relevant_hits_in_top5,returned_pages,top1,top2,top3,top4,top5
0.2,minmax pruning,2,615,07 Αναζήτηση με αντιπαλότητα.pdf,03 Τυφλή αναζήτηση.pdf,07 Αναζήτηση με αντιπαλότητα.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.2,ευριστική αναζήτηση,1,629,1810.04805v2.pdf,04 Ευριστική αναζήτηση.pdf,2302.13971v1.pdf,01 Εισαγωγή.pdf,03 Τυφλή αναζήτηση.pdf
0.2,τοπική αναζήτηση,0,617,1810.04805v2.pdf,04 Ευριστική αναζήτηση.pdf,01 Εισαγωγή.pdf,2302.13971v1.pdf,04 Ευριστική αναζήτηση.pdf
0.2,αναζήτηση με αντιπαλότητα,0,645,04 Ευριστική αναζήτηση.pdf,1810.04805v2.pdf,03 Τυφλή αναζήτηση.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.2,προβλήματα ικανοποίησης περιορισμών,1,653,1810.04805v2.pdf,06 Προβλήματα ικανοποίησης περιορισμών.pdf,02 Επίλυση προβλημάτων.pdf,04 Ευριστική αναζήτηση.pdf,2302.13971v1.pdf
0.2,τυφλή αναζήτηση,4,611,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,1810.04805v2.pdf
0.3,decision trees,0,577,07 Αναζήτηση με αντιπαλότητα.pdf,03 Τυφλή αναζήτηση.pdf,07 Αναζήτηση με αντιπαλότητα.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.3,genetic algorithms,0,553,02 Επίλυση προβλημάτων.pdf,04 Ευριστική αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,01 Εισαγωγή.pdf,03 Τυφλή αναζήτηση.pdf
0.3,neural networks,0,592,01 Εισαγωγή.pdf,02 Επίλυση προβλημάτων.pdf,15_AIML_SVM.pdf,04 Ευριστική αναζήτηση - παραδείγματα με λύσεις.pdf,15_AIML_SVM.pdf
0.3,logistic regression,0,573,01 Εισαγωγή.pdf,04 Ευριστική αναζήτηση.pdf,1810.04805v2.pdf,03 Τυφλή αναζήτηση.pdf,04 Ευριστική αναζήτηση.pdf
0.3,minmax pruning,2,545,07 Αναζήτηση με αντιπαλότητα.pdf,03 Τυφλή αναζήτηση.pdf,07 Αναζήτηση με αντιπαλότητα.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.3,ευριστική αναζήτηση,1,569,1810.04805v2.pdf,04 Ευριστική αναζήτηση.pdf,2302.13971v1.pdf,01 Εισαγωγή.pdf,03 Τυφλή αναζήτηση.pdf
0.3,τοπική αναζήτηση,0,565,1810.04805v2.pdf,04 Ευριστική αναζήτηση.pdf,01 Εισαγωγή.pdf,2302.13971v1.pdf,04 Ευριστική αναζήτηση.pdf
0.3,αναζήτηση με αντιπαλότητα,0,581,04 Ευριστική αναζήτηση.pdf,1810.04805v2.pdf,03 Τυφλή αναζήτηση.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.3,προβλήματα ικανοποίησης περιορισμών,1,590,1810.04805v2.pdf,06 Προβλήματα ικανοποίησης περιορισμών.pdf,02 Επίλυση προβλημάτων.pdf,04 Ευριστική αναζήτηση.pdf,2302.13971v1.pdf
0.3,τυφλή αναζήτηση,4,551,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,1810.04805v2.pdf
0.5,decision trees,0,453,07 Αναζήτηση με αντιπαλότητα.pdf,03 Τυφλή αναζήτηση.pdf,07 Αναζήτηση με αντιπαλότητα.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.5,genetic algorithms,0,431,02 Επίλυση προβλημάτων.pdf,04 Ευριστική αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,01 Εισαγωγή.pdf,03 Τυφλή αναζήτηση.pdf
0.5,neural networks,0,457,01 Εισαγωγή.pdf,02 Επίλυση προβλημάτων.pdf,15_AIML_SVM.pdf,04 Ευριστική αναζήτηση - παραδείγματα με λύσεις.pdf,15_AIML_SVM.pdf
0.5,logistic regression,0,453,01 Εισαγωγή.pdf,04 Ευριστική αναζήτηση.pdf,1810.04805v2.pdf,03 Τυφλή αναζήτηση.pdf,04 Ευριστική αναζήτηση.pdf
0.5,minmax pruning,2,418,07 Αναζήτηση με αντιπαλότητα.pdf,03 Τυφλή αναζήτηση.pdf,07 Αναζήτηση με αντιπαλότητα.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.5,ευριστική αναζήτηση,1,445,1810.04805v2.pdf,04 Ευριστική αναζήτηση.pdf,2302.13971v1.pdf,01 Εισαγωγή.pdf,03 Τυφλή αναζήτηση.pdf
0.5,τοπική αναζήτηση,0,430,1810.04805v2.pdf,04 Ευριστική αναζήτηση.pdf,01 Εισαγωγή.pdf,2302.13971v1.pdf,04 Ευριστική αναζήτηση.pdf
0.5,αναζήτηση με αντιπαλότητα,0,445,04 Ευριστική αναζήτηση.pdf,1810.04805v2.pdf,03 Τυφλή αναζήτηση.pdf,02 Επίλυση προβλημάτων.pdf,03 Τυφλή αναζήτηση.pdf
0.5,προβλήματα ικανοποίησης περιορισμών,1,455,1810.04805v2.pdf,06 Προβλήματα ικανοποίησης περιορισμών.pdf,02 Επίλυση προβλημάτων.pdf,04 Ευριστική αναζήτηση.pdf,2302.13971v1.pdf
0.5,τυφλή αναζήτηση,4,421,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,03 Τυφλή αναζήτηση.pdf,1810.04805v2.pdf
